===== wnba_2025_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natasha Mack,PHO,F-C,34,623,34,23,623,71,124,",573",0,4,",000",71,120,",592",17,36,",472",78,197,30,30,52,15,55,159
Kaila Charles,TOT,G-F,35,616,35,12,616,79,188,",420",25,72,",347",54,116,",466",40,49,",816",46,149,35,28,7,38,69,223
Dominique Malonga,SEA,C,42,600,42,0,600,145,263,",551",4,18,",222",141,245,",576",29,51,",569",54,195,36,17,28,48,87,323
Haley Jones,TOT,F-G,28,594,28,16,594,85,188,",452",12,39,",308",73,149,",490",22,35,",629",18,98,64,21,22,48,64,204
Stephanie Talbot,TOT,F,38,541,38,10,541,39,104,",375",16,56,",286",23,48,",479",18,28,",643",26,101,66,19,6,40,43,112
JJ Quinerly,DAL,G,34,539,34,13,539,80,188,",426",21,54,",389",59,134,",440",39,45,",867",18,63,78,29,7,52,70,220
Aaliyah Edwards,TOT,F,36,534,36,0,534,69,154,",448",0,9,",000",69,145,",476",56,87,",644",47,132,20,23,14,41,56,194
Aari McDonald,IND,G,20,525,20,13,525,66,154,",429",24,78,",308",42,76,",553",40,51,",784",9,47,94,25,3,46,50,196
Li Yueru,TOT,C,31,519,31,12,519,62,153,",405",20,55,",364",42,98,",429",43,50,",860",52,141,29,9,9,30,57,187
Rae Burrell,LAS,G-F,28,515,28,1,515,77,178,",433",22,67,",328",55,111,",495",35,47,",745",18,65,34,16,6,25,36,211
Kiah Stokes,LVA,C,40,514,40,18,514,18,51,",353",3,23,",130",15,28,",536",5,8,",625",29,144,17,17,14,16,47,44
Emily Engstler,WAS,F,40,512,40,0,512,53,134,",396",16,63,",254",37,71,",521",24,36,",667",37,130,58,28,27,38,52,146
Tiffany Mitchell,TOT,G,39,510,39,3,510,40,102,",392",11,30,",367",29,72,",403",35,47,",745",11,42,12,14,8,24,52,126
Lucy Olsen,WAS,G,41,508,41,0,508,66,159,",415",19,70,",271",47,89,",528",14,17,",824",11,48,49,15,5,21,45,165
Rebekah Gardner,NYL,G,41,502,41,5,502,55,110,",500",20,42,",476",35,68,",515",22,27,",815",27,74,25,25,7,23,63,152
Iliana Rupert,GSV,C,21,486,21,11,486,67,153,",438",46,104,",442",21,49,",429",15,16,",938",21,81,33,13,12,20,48,195
Sarah Ashlee Barker,LAS,G,34,481,34,8,481,35,104,",337",18,61,",295",17,43,",395",17,24,",708",10,66,31,11,4,37,45,105
Monique Billings,GSV,F,26,474,26,8,474,72,151,",477",10,36,",278",62,115,",539",36,53,",679",37,116,14,16,21,21,44,190
Lexi Held,PHO,G,32,471,32,0,471,62,164,",378",28,91,",308",34,73,",466",18,22,",818",11,34,35,23,5,28,38,170
Nia Coffey,ATL,F,44,455,44,2,455,55,147,",374",24,82,",293",31,65,",477",36,50,",720",26,114,46,10,18,30,47,170
Lindsay Allen,CON,G,31,450,31,9,450,26,65,",400",3,18,",167",23,47,",489",19,23,",826",9,32,61,10,6,31,37,74
